Year,Month,Temperature,Anomaly
1889,1,NaN,NaN
1889,2,NaN,NaN
1889,3,NaN,NaN
1889,4,NaN,NaN
1889,5,NaN,NaN
1889,6,NaN,NaN
1889,7,NaN,NaN
1889,8,NaN,NaN
1889,9,NaN,NaN
1889,10,NaN,NaN
1889,11,NaN,NaN
1889,12,NaN,NaN
1890,1,-9.300,-1.484
1890,2,-7.000,0.516
1890,3,-2.200,0.404
1890,4,5.400,0.732
1890,5,9.500,-1.108
1890,6,11.500,-2.742
1890,7,17.600,-0.808
1890,8,21.900,2.107
1890,9,19.000,2.830
1890,10,9.800,0.226
1890,11,4.100,1.875
1890,12,0.600,4.508
1891,1,-7.700,0.116
1891,2,-6.700,0.816
1891,3,0.900,3.504
1891,4,4.300,-0.368
1891,5,9.700,-0.908
1891,6,12.600,-1.642
1891,7,17.100,-1.308
1891,8,18.500,-1.293
1891,9,16.100,-0.070
1891,10,9.500,-0.074
1891,11,2.900,0.675
1891,12,-2.100,1.808
1892,1,-6.600,1.216
1892,2,-5.700,1.816
1892,3,-4.700,-2.096
1892,4,3.400,-1.268
1892,5,8.700,-1.908
1892,6,12.900,-1.342
1892,7,21.400,2.992
1892,8,19.300,-0.493
1892,9,17.100,0.930
1892,10,9.700,0.126
1892,11,2.300,0.075
1892,12,-4.600,-0.692
1893,1,-6.600,1.216
1893,2,-7.700,-0.184
1893,3,-2.200,0.404
1893,4,2.400,-2.268
1893,5,6.100,-4.508
1893,6,12.300,-1.942
1893,7,15.100,-3.308
1893,8,19.300,-0.493
1893,9,14.700,-1.470
1893,10,10.300,0.726
1893,11,4.200,1.975
1893,12,-2.000,1.908
1894,1,-5.400,2.416
1894,2,-5.100,2.416
1894,3,-1.900,0.704
1894,4,3.900,-0.768
1894,5,7.200,-3.408
1894,6,17.300,3.058
1894,7,18.200,-0.208
1894,8,18.800,-0.993
1894,9,15.400,-0.770
1894,10,8.900,-0.674
1894,11,3.900,1.675
1894,12,-2.700,1.208
1895,1,-7.400,0.416
1895,2,-5.400,2.116
1895,3,-5.400,-2.796
1895,4,3.800,-0.868
1895,5,9.300,-1.308
1895,6,10.200,-4.042
1895,7,13.900,-4.508
1895,8,19.300,-0.493
1895,9,16.700,0.530
1895,10,10.200,0.626
1895,11,1.400,-0.825
1895,12,-2.400,1.508
1896,1,-5.700,2.116
1896,2,-8.200,-0.684
1896,3,-3.900,-1.296
1896,4,5.200,0.532
1896,5,10.400,-0.208
1896,6,13.600,-0.642
1896,7,16.000,-2.408
1896,8,20.200,0.407
1896,9,14.400,-1.770
1896,10,8.700,-0.874
1896,11,3.100,0.875
1896,12,-3.200,0.708
1897,1,-6.700,1.116
1897,2,-6.500,1.016
1897,3,-4.900,-2.296
1897,4,0.900,-3.768
1897,5,6.800,-3.808
1897,6,9.800,-4.442
1897,7,16.100,-2.308
1897,8,19.400,-0.393
1897,9,15.300,-0.870
1897,10,9.000,-0.574
1897,11,2.700,0.475
1897,12,-6.400,-2.492
1898,1,-7.000,0.816
1898,2,-8.000,-0.484
1898,3,-8.000,-5.396
1898,4,3.900,-0.768
1898,5,6.600,-4.008
1898,6,10.800,-3.442
1898,7,17.900,-0.508
1898,8,18.900,-0.893
1898,9,12.400,-3.770
1898,10,8.800,-0.774
1898,11,2.500,0.275
1898,12,-2.300,1.608
1899,1,-5.100,2.716
1899,2,-7.600,-0.084
1899,3,-3.600,-0.996
1899,4,4.300,-0.368
1899,5,10.100,-0.508
1899,6,12.300,-1.942
1899,7,16.000,-2.408
1899,8,16.700,-3.093
1899,9,15.000,-1.170
1899,10,9.700,0.126
1899,11,2.000,-0.225
1899,12,-3.800,0.108
1900,1,-8.500,-0.684
1900,2,-10.400,-2.884
1900,3,-5.300,-2.696
1900,4,2.900,-1.768
1900,5,9.000,-1.608
1900,6,11.200,-3.042
1900,7,14.700,-3.708
1900,8,20.000,0.207
1900,9,15.500,-0.670
1900,10,10.100,0.526
1900,11,3.300,1.075
1900,12,-3.500,0.408
1901,1,-6.500,1.316
1901,2,-6.300,1.216
1901,3,-2.300,0.304
1901,4,5.200,0.532
1901,5,8.800,-1.808
1901,6,11.100,-3.142
