Identifiant;Commémoré;Adresse complète;Précision adresse;Code postal;xy
335.0;LIBERATION DE PARIS;56, boulevard Malesherbes 75008 Paris;NULL;75008.0;48.877208, 2.31731
517.0;Henri RIBIERE;5 bis, rue de l'Asile Popincourt 75011 Paris;NULL;75011.0;48.859816, 2.374159
617.0;Eleves de ces ecoles morts en déportation parce que nés juifs;14 rue Charles Baudelaire 75012 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75012.0;48.849352, 2.376825
643.0;Colonne Commandée Par Le Capitaine Dronne DRONNE;75013 Paris;NULL;75013.0;48.831473, 2.368694
952.0;Adrien LEGRAND;2, rue de Chartres 75018 Paris;NULL;75018.0;48.884406, 2.35554
951.0;Marius LEFEBVRE;58, rue Championnet 75018 Paris;NULL;75018.0;48.895792, 2.347255
1141.0;MEMORIAL RATP;18, rue des Pyrenees Depot de Lagny 75020 Paris;NULL;75020.0;48.848792, 2.400958
1178.0;Eleves de ces ecoles morts en déportation parce que nés juifs;Maternelle, 39 rue de Tourtille 75020 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75020.0;48.872016, 2.380538
137.0;Jean, Prevot ROCHER;20, boulevard de Sébastopol 75004 Paris;NULL;75004.0;48.860264, 2.349424
203.0;Guy Robert Et Yvonne Le Marec COSTAL;5 rue des Beaux-Arts 75006 Paris;NULL;75006.0;48.856286, 2.335943
252.0;Jules De SEZE;76, rue de Seine 75006 Paris;NULL;75006.0;48.851982, 2.3369429999999998
284.0;Roger JAUDOUX;30, boulevard des Invalides 75007 Paris;NULL;75007.0;48.852184, 2.31427
346.0;SAPEURS-POMPIERS;Place Beauvau 75008 Paris;(Ministère de l'Intérieur);75008.0;48.871305, 2.316405
403.0;Maurice FEFERMAN;58, rue des Petites Ecuries 75010 Paris;Alias FIFI;75010.0;48.87406, 2.348233
583.0;LIBERATION DE PARIS;68, boulevard Diderot 75012 Paris;NULL;75012.0;48.846551, 2.381167
864.0;Raoul NORDLING;106,rue de la Pompe Lycée Janson de Sailly 75016 Paris;cour intérieure;75016.0;48.86555, 2.279442
880.0;Eleves de ces ecoles morts en déportation parce que nés juifs;rue des Bauches 75016 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75016.0;48.855842, 2.274148
937.0;Marguerite, Desplas DESPLAS;118, boulevard Ney 75018 Paris;NULL;75018.0;48.898086, 2.342092
1044.0;Robert HOUVIN;Place Armand Carrel En dépot a la Mairie du 19ème arrondissement 75019 Paris;(adresse : 31, rue de Belleville);75019.0;48.882639, 2.382162
1108.0;Henri BROBION;13, rue Saint-Blaise 75020 Paris;NULL;75020.0;48.859812, 2.4048249999999998
285.0;Général JOINVILLE-MALLERET;39, avenue de la Bourdonnais 75007 Paris;NULL;75007.0;48.858242, 2.299478
433.0;Jean Et Berthe MOINON;19, rue du Buisson Saint-Louis 75010 Paris;NULL;75010.0;48.872609, 2.3738609999999998
635.0;André CHASSERAUD;134 bis, rue de Tolbiac 75013 Paris;NULL;75013.0;48.826271, 2.358052
647.0;Sur Le Rocher Du Rond Point PLACE NATIONALE;75013 Paris;NULL;75013.0;48.831473, 2.368694
750.0;MEMORIAL;rue de la sante Angle rue Jean Dolent/ 75014 Paris;prison de la sante;75014.0;48.833603, 2.338657
827.0;Jacques ARTHUYS;72, avenue Victor-Hugo 75016 Paris;NULL;75016.0;48.870085, 2.286
44.0;Eleves de ces ecoles morts en déportation parce que nés juifs;3 rue de la Jussienne 75002 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75002.0;48.865292, 2.344087
1062.0;Albert MUNERELLE;en depot a la Mairie du 19ème arrondissement 75019 Paris;NULL;75019.0;48.886249, 2.396241
1133.0;Jacques KIPMAN;43, rue des Couronnes 75020 Paris;NULL;75020.0;48.870281, 2.384473
1140.0;MANOUCHIAN;rUE du groupe mANOUCHIAN 75020 Paris;NULL;75020.0;48.869654, 2.404505
134.0;André PERRIN;Parvis Notre-Dame 75004 Paris;Mur Hôtel-Dieu (près de la porte d'entrée);75004.0;48.853519, 2.348216
302.0;Georges MORIN;Couloir des Invalides 75007 Paris;NULL;75007.0;48.851843, 2.314945
416.0;HOPITAL SAINT-LAZARE;107, rue du Faubourg Saint-Denis 75010 Paris;NULL;75010.0;48.875174, 2.355702
381.0;Roger AIZENMAN;33, rue du Faubourg Saint- Martin 75010 Paris;NULL;75010.0;48.870359, 2.3561959999999997
402.0;Yvan EL DAROFF;130-132, boulevard de Magenta 75010 Paris;NULL;75010.0;48.880876, 2.352195
869.0;RESISTANTS TORTURES;93, rue Lauriston 75016 Paris;NULL;75016.0;48.867404, 2.288121
902.0;Roger SALOMEZ;77, rue des Dames 75017 Paris;NULL;75017.0;48.883412, 2.319978
737.0;Joseph LACAN;37, rue Raymond Losserand 75014 Paris;NULL;75014.0;48.835293, 2.320793
730.0;André DUBREUIL;9/11, boulevard Brune 75014 Paris;NULL;75014.0;48.827714, 2.306151
619.0;Eleves de ces ecoles morts en déportation parce que nés juifs;253 bis avenue Daumesnil 75012 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75012.0;48.837249, 2.402542
823.0;Eleves de ces ecoles morts en déportation parce que nés juifs;3 place du Cardinal Amette 75015 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75015.0;48.850937, 2.297107
1047.0;Maurice KORZEC;37, rue Alphonse Karr 75019 Paris;NULL;75019.0;48.895545, 2.379429
1117.0;Oreste DUFOUR;59, rue Julien Lacroix 75020 Paris;NULL;75020.0;48.870502, 2.384021
1187.0;Eleves de ces ecoles morts en déportation parce que nés juifs;9 rue des Panoyaux Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75020.0;48.866365, 2.384761
315.0;Jean, Belloc VANDAL;Boulevard Saint-Germain 75007 Paris;face à  la rue de l'Université;75007.0;48.85709, 2.325409
374.0;Eleves de ces ecoles morts en déportation parce que nés juifs;Lycée Jacques Decour 12 avenue Trudaine 75009 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75009.0;48.881483, 2.343411
